"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu",,,
"",,"kesatuan kegiatan tanaman hortikultura buah yang dipakai sebagai sayuran (labu),",,,
"",,"seperti mentimun, terung, tomat, belimbing sayur dan labu sayur (siam),",,,
"",,"waluh/labu kuning, gambas/oyong dan sejenisnya.",,,
14,01134,PERTANIAN TANAMAN HORTIKULTURA SAYURAN UMBI,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, pemanenan, dan pasca panen jika menjadi satu",,,
"",,"kesatuan kegiatan tanaman umbi­umbian hortikultura, seperti kentang, kentang",,,
"",,"manis, wortel, lobak cina, rebung, bawang putih, bawang bombay atau bawang",,,
"",,"merah, bawang perai dan sayuran alliaceous lainnya.",,,
15,01135,PERTANIAN TANAMAN UMBI-UMBIAN PALAWIJA,15,15,15
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman umbi-umbian palawija, seperti ubi kayu, ubi jalar,",,,
"",,"talas, ganyong dan irut, gembili dan tanaman umbi-umbian palawija lainnya.",,,
16,01136,PERTANIAN TANAMAN JAMUR,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu",,,
"",,"kesatuan kegiatan tanaman jamur dan truffle, seperti jamur merang, jamur tiram,",,,
"",,"jamur shitake, jamur kuping dan sejenisnya.",,,
17,01137,PERTANIAN TANAMAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu",,,
"",,"kesatuan kegiatan tanaman bit gula dan tanaman pemanis lainnya bukan tebu,",,,
"",,seperti stevia dan sorgum manis.,,,
18,01139,PERTANIAN TANAMAN HORTIKULTURA SAYURAN LAINNYA,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu",,,
"",,kesatuan kegiatan tanaman hortikultura sayuran lainnya yang dipanen lebih dari,,,
"",,"sekali; pertanian bibit sayuran, kecuali bibit bit; dan pertanian sayuran lainnya.",,,
19,01140,PERKEBUNAN TEBU,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi",,,
"",,satu kesatuan kegiatan tanaman tebu.,,,
20,01150,PERKEBUNAN TEMBAKAU,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi",,,
"",,satu kesatuan kegiatan tanaman tembakau. Termasuk pula pengolahan daun,,,
"",,tembakau yang tak dapat dipisahkan dari kegiatan perkebunan seperti,,,
"",,pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan,,,
"",,perkebunannya.,,,
21,01160,PERTANIAN TANAMAN BERSERAT,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan jika menjadi",,,
"",,"satu kesatuan kegiatan tanaman berserat sebagai bahan baku tekstil, seperti",,,
"",,"kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf, perkebunan sisal",,,
"",,dan tanaman bahan baku tekstil lainnya termasuk genus agave dan perkebunan,,,
"",,tanaman serat lainnya.,,,
22,01191,PERTANIAN TANAMAN RUMPUT-RUMPUTAN DAN TANAMAN PAKAN TERNAK,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman",,,
"",,rumput-rumputan semusim lainnya yang tidak termasuk dalam kelompok,,,
"",,"manapun, seperti tanaman pupuk hijau, tanaman penutup tanah dan pertanian",,,
"",,"sewede, mangold, akar-akaran untuk makanan hewan, rumput gajah, semanggi,",,,
"",,"alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya untuk",,,
"",,makanan ternak dan sejenisnya.,,,
23,01192,PEMBIBITAN BIT (BUKAN BIT GULA) DAN BIBIT TANAMAN PAKAN TERNAK,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,penyemaian, pembibitan bit (bukan bit gula) dan bibit tanaman pakan ternak.",,,
24,01193,PERTANIAN TANAMAN BUNGA,"11,5",11,10
"",,"Kelompok ini mencakup pertanian tanaman semusim yang lain, seperti pertaniantanaman bunga, termasuk produksi bunga potong dan pucuk bunga. Tanamanbunga pada kelompok ini misalnya anggrek, anyelir, gerbera/hebras, gladiol,krisan, mawar, melati, sedap malam dan tanaman bunga lainnya. Termasuktanaman anthurium bunga, euphorbia, adenium (kamboja Jepang) dan Ixora(soka).",,,
25,01194,PERTANIAN PEMBIBITAN TANAMAN BUNGA,"11,5",11,10
"",,Kelompok ini mencakup usaha pertanian pembibitan tanaman bunga.,,,
26,01210,PERTANIAN BUAH ANGGUR,"11,5",11,10
"",,Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan atau,,,
"",,"pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen",,,
"",,buah anggur.,,,
27,01220,PERTANIAN BUAH-BUAHAN TROPIS,"11,5",11,10
"",,Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/,,,
"",,"pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen",,,
"",,"buah-buahan tropis, seperti rambutan, alpukat, durian, duku, pisang dan pisang",,,
"",,"raja, kurma, buah ara, pepaya, jambu biji, jambu air, lengkeng, nangka, nenas,",,,
"",,"mangga, manggis, sawo, belimbing, salak, sirsak dan sejenisnya.",,,
28,01230,PERTANIAN BUAH JERUK,"11,5",11,10
"",,Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/,,,
"",,"pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panen",,,
"",,"buah jeruk besar dan jeruk keprok atau jeruk siam, seperti jeruk Bali, jeruk lemon",,,
"",,"dan limau, jeruk orange, jeruk keprok, jeruk tangerin, jeruk mandarin dan",,,
"",,clementine dan buah jeruk lainnya.,,,
29,01240,PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan/pelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panenbuah apel dan buah batu, seperti apel, aprikot, cherry, peach dan nectarine, peardan quince, plum dan sloe, markisa, kepel, buah naga, terong Belanda dan buahdelima dan buah batu lainnya.",,,
30,01251,PERTANIAN BUAH BERI,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan penyiapan ataupelaksanaan, penanaman, pembibitan, pemeliharaan, pemanenan dan pasca panenbuah beri, seperti blueberry, gooseberry, kiwi, raspberry, strawberry dan berilainnya termasuk pembibitannya.",,,
31,01252,PERTANIAN TANAMAN BUAH BIJI KACANG-KACANGAN,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanamanbuah biji kacang‐kacangan yang dapat dimakan, seperti almond, kacang mede,chestnut, kenari, walnut dan kacang-kacangan yang lainnya termasukpembibitannya.",,,
32,01253,PERTANIAN TANAMAN SAYURAN TAHUNAN,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanamansayuran tahunan, seperti kluwih atau timbul, sukun, nangka sayur, petai, jengkol,melinjo dan sejenisnya.",,,
33,01259,PERTANIAN TANAMAN BUAH SEMAK LAINNYA,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman",,,
"",,"buah semak lainnya, termasuk locust beans.",,,
34,01261,PERKEBUNAN BUAH KELAPA,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa.",,,
35,01262,PERKEBUNAN BUAH KELAPA SAWIT,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan buah kelapa",,,
"",,sawit.,,,
36,01269,PERKEBUNAN TANAMAN BUAH OLEAGINOUS LAINNYA,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman",,,
"",,"buah oleaginous lain, seperti buah zaitun dan lainnya.",,,
37,01270,PERTANIAN TANAMAN UNTUK BAHAN MINUMAN,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman",,,
"",,"untuk bahan minuman, seperti tanaman kopi, teh, mate dan kakao.",,,
38,01281,PERKEBUNAN LADA,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan lada atau",,,
"",,merica (piper spp).,,,
39,01282,PERKEBUNAN CENGKEH,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan cengkeh.",,,
40,01283,PERKEBUNAN CABE,"11,5",11,10
"",,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan,",,,
"",,"penanaman, pemeliharaan, pemanenan dan pasca panen sayuran cabe (capsicum",,,
"",,"spp), seperti cabe besar, cabe rawit dan paprika.",,,
41,01284,PERKEBUNAN TANAMAN AROMATIK/PENYEGAR,"11,5",11,10
"",,"Kelompok mi mencakup usaha perkebunan mulai dan kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanaman",,,
"",,"perkebunan minyak atsini, seperti sereh wangi, nilam, menthol, cendana, kenanga,",,,
"",,"ilang-ilang, gandapura, lawang.",,,
42,01285,PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA RIMPANG,"11,5",11,10
"",,"Kelompok mi mencakup usaha perkebunan mulai dan kegiatan pengolahan lahan,",,,
"",,"penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanaman",,,
"",,obat atau biofarmaka nimpang (termasuk pula tanaman bahan insektisida dan,,,
"",,"fungisida dan yang sejenis), seperti jahe, kunyit, temulawak, temugining,",,,
"",,"temuireng, temukunci, kencur, lengkuas, lempuyang, dlingo dan sejenisnya.",,,
43,01286,PERTANIAN TANAMAN OBAT ATAU BIOFARMAKA NON RIMPANG,"11,5",11,10
"",,"Kelompok mi mencakup usaha perkebunan mulai dan kegiatan pengolahan lahan,penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanamanobat atau biofarmaka non nimpang (termasuk pula tanaman bahan insektisida danfungisida dan yang sejenis), seperti kina, adas, kapulaga, orang-aning, iles­iles,pinang, gambir, lidah buaya, kejibeling, sambioto, kumis kucing, mengkudu ataupace, mahkota dewa dan sejenisnya.",,,
44,01289,"PERTANIAN TANAMAN REMPAH-REMPAH, AROMATIK/PENYEGAR, NARKOTIKDAN OBAT LAINNYA","11,5",11,10
"",,"penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan tanamanrempah lainnya, seperti kemini, panili, kayu manis dan pala.",,,
45,01291,PERKEBUNAN KARET DAN TANAMAN PENGHASIL GETAH LAINNYA,"11,5",11,10
"",,"Kelompok ini mencakup usaha perkebunan mulai dan kegiatan pengolahan lahan,penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan tanamankaret dan tanaman penghasil getah lainnya, seperti getah perca dan kemenyan.Termasuk pengolahan hasil tanaman karet yang tidak dapat dipisahkan dankegiatan perkebunan.",,,
46,01299,PERKEBUNAN CEMARA DAN TANAMAN TAHUNAN LAINNYA,"11,5",11,10
"",,"Kelompok mi mencakup usaha perkebunan mulai dan kegiatan pengolahan lahan,penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan pohoncemara dan tanaman tahunan lainnya.",,,
47,01301,PERTANIAN TANAMAN HIAS BUKAN TANAMAN BUNGA,"11,5",11,10
"",,Kelompok mi mencakup pertanian atau budidaya tanaman hias yang dipanen,,,
"",,"bukan bunganya, seperti bonsai, suplir, kupmg gajah, heliconia (pisang-pisangan),",,,
"",,"dracaena, phylodendrom, monstera, cordyline, anthunium daun, pakis, aglonema,",,,
"",,"difenbacia, sansifera (lidah mertua), caladium (keladi), palem dan tanaman hias",,,
"",,bukan tanaman bunga lainnya. Tenmasuk penanaman tumbuhan untuk tujuan,,,
"",,onnamen dan tanah benumput untuk transplantasi.,,,
48,01302,PERTANIAN PENGEMBANGBIAKAN TANAMAN HOLTIKULTURA LAINNYA BUKAN,,,
"",,BUNGA,"11,5",11,10
